BifOrder meanRadius AboveStd BelowStd Freq
0.000000000000000000e+00 2.746511921448753224e+00 3.927150436039607562e-01 6.119032729873156162e-01 2.640917500000000018e+03
1.000000000000000000e+00 4.083503924413220076e+00 3.200279315079568310e-01 4.063478487222719759e-01 3.506600000000000250e+02
2.000000000000000000e+00 4.743402474429744053e+00 4.165083115805133240e-01 5.208591590946543004e-01 2.254900000000000091e+02
3.000000000000000000e+00 5.339972072663488056e+00 4.990328832868566322e-01 6.102465867493617191e-01 1.549449999999999932e+02
4.000000000000000000e+00 5.929991064123798949e+00 5.700483968584166838e-01 6.971163133341726770e-01 1.125100000000000051e+02
5.000000000000000000e+00 6.512895205199877857e+00 6.717329144197380364e-01 8.079758705600320612e-01 8.476999999999999602e+01
6.000000000000000000e+00 7.078255186791646558e+00 7.318007141095858037e-01 9.004703454270789331e-01 6.580249999999999488e+01
7.000000000000000000e+00 7.624039732829928084e+00 8.322674143460938589e-01 9.895470451260789391e-01 5.231000000000000227e+01
8.000000000000000000e+00 8.132229914773741797e+00 9.087999940449941194e-01 1.152953687252012305e+00 4.251749999999999829e+01
9.000000000000000000e+00 1.245131652829498314e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.043274999999999864e+02
