RBF (microliter/min),Study,Age
38.2,Doblhoff-Dier (2014),N/A
29.7,Doblhoff-Dier (2014),N/A
37.2,Doblhoff-Dier (2014),N/A
37.3,Doblhoff-Dier (2014),N/A
17.6,Riva (1985),N/A
35.1,Riva (1985),N/A
43.6,Riva (1985),N/A
43.1,Riva (1985),N/A
34.6,Riva (1985),N/A
29,Riva (1985),N/A
21.4,Riva (1985),N/A
17.3,Riva (1985),N/A
26.2,Riva (1985),N/A
28.5,Riva (1985),N/A
41,Riva (1985),N/A
24.1,Riva (1985),N/A
35.6,Garhöfer (2022),N/A
40.1,Hommer (2022),N/A
39.6178343949044,Bata (2019),19
41.2738853503185,Bata (2019),21
41.2738853503185,Bata (2019),22
42.0382165605095,Bata (2019),24
37.8343949044586,Bata (2019),25
34.140127388535,Bata (2019),24
33.3757961783439,Bata (2019),28
33.6305732484076,Bata (2019),30
34.7770700636943,Bata (2019),30
38.0891719745223,Bata (2019),34
28.4076433121019,Bata (2019),22
25.6050955414013,Bata (2019),22
28.1528662420382,Bata (2019),25
28.0254777070064,Bata (2019),29
26.3694267515923,Bata (2019),30
43.312101910828,Bata (2019),31
42.8025477707006,Bata (2019),30
45.4777070063694,Bata (2019),26
46.4968152866242,Bata (2019),30
46.1146496815287,Bata (2019),31
48.2802547770701,Bata (2019),34
52.1019108280255,Bata (2019),24
56.0509554140127,Bata (2019),38
54.9044585987261,Bata (2019),40
40.1273885350318,Bata (2019),36
37.3248407643312,Bata (2019),38
32.6114649681529,Bata (2019),34
32.2292993630573,Bata (2019),36
29.9363057324841,Bata (2019),38
31.4649681528662,Bata (2019),42
34.3949044585987,Bata (2019),41
37.452229299363,Bata (2019),42
42.2929936305732,Bata (2019),42
43.8216560509554,Bata (2019),42
44.5859872611465,Bata (2019),41
44.5859872611465,Bata (2019),46
39.1082802547771,Bata (2019),49
35.2866242038216,Bata (2019),45
30.5732484076433,Bata (2019),47
25.2229299363057,Bata (2019),44
32.6114649681529,Bata (2019),50
34.6496815286624,Bata (2019),51
37.1974522292994,Bata (2019),50
40.6369426751592,Bata (2019),56
39.7452229299363,Bata (2019),56
32.7388535031847,Bata (2019),55
31.4649681528662,Bata (2019),55
29.8089171974522,Bata (2019),56
31.4649681528662,Bata (2019),57
32.2292993630573,Bata (2019),60
35.4140127388535,Bata (2019),60
39.7452229299363,Bata (2019),61
42.8025477707006,Bata (2019),61
26.3694267515923,Bata (2019),61
25.6050955414013,Bata (2019),61
27.8980891719745,Bata (2019),65
30.0636942675159,Bata (2019),65
30.0636942675159,Bata (2019),64
36.3057324840764,Bata (2019),64
36.9426751592357,Bata (2019),68
37.0700636942675,Bata (2019),69
43.5668789808917,Bata (2019),69
34.5222929936306,Bata (2019),70
31.4649681528662,Bata (2019),71
29.9363057324841,Bata (2019),76
23.5668789808917,Bata (2019),75
38.343949044586,Bata (2019),76
21.750466018043,Rahimi (2021),N/A
29.0163519242416,Rahimi (2021),N/A
39.1117263510591,Rahimi (2021),N/A
38.8054207533368,Rahimi (2021),N/A
36.4790586828796,Rahimi (2021),N/A
46.3547085519227,Rahimi (2021),N/A
47.9212213212103,Rahimi (2021),N/A
48.9526431284951,Rahimi (2021),N/A
47.74793339678,Rahimi (2021),N/A
44.4963623064157,Rahimi (2021),N/A
55.9750198598407,Rahimi (2021),N/A
62.1596495229706,Rahimi (2021),N/A
68.6536050526581,Rahimi (2021),N/A
61.3728694913521,Rahimi (2021),N/A
49.34,Srinivas (2015),N/A
