WSR, Viscosity,Study
441.1601969,75.27675468,Nagaoka (2006)
570.4833126,69.6981641,Nagaoka (2006)
717.5673889,65.47529182,Nagaoka (2006)
858.7490853,61.10188285,Nagaoka (2006)
994.1181038,58.08478426,Nagaoka (2006)
1135.389502,55.21822235,Nagaoka (2006)
1276.687811,52.80371456,Nagaoka (2006)
1429.871611,52.0464425,Nagaoka (2006)
1571.205801,50.23467354,Nagaoka (2006)
1712.566901,48.8749587,Nagaoka (2006)
1836.283653,48.11842674,Nagaoka (2006)
1983.538162,46.75856387,Nagaoka (2006)
2136.695052,45.5492377,Nagaoka (2006)
2266.296243,44.64187301,Nagaoka (2006)
2407.639403,42.98078875,Nagaoka (2006)
2566.689702,41.77131456,Nagaoka (2006)
2708.050802,40.41159971,Nagaoka (2006)
2837.643024,39.35355032,Nagaoka (2006)
2990.781973,37.84285473,Nagaoka (2006)
3132.143073,36.48313989,Nagaoka (2006)
3273.522113,35.42479445,Nagaoka (2006)
3397.229895,34.51757779,Nagaoka (2006)
3550.422665,33.91099044,Nagaoka (2006)
3715.366374,32.70136822,Nagaoka (2006)
3844.994476,32.24605765,Nagaoka (2006)
3992.293837,31.63961832,Nagaoka (2006)
4127.815348,31.18415973,Nagaoka (2006)
4269.23027,30.72855312,Nagaoka (2006)
4422.42304,30.12196577,Nagaoka (2006)
4546.157732,29.66680322,Nagaoka (2006)
4693.457093,29.06036389,Nagaoka (2006)
4840.765424,28.60460926,Nagaoka (2006)
4982.180345,28.14900266,Nagaoka (2006)
5123.613206,27.99476546,Nagaoka (2006)
5253.268219,27.99150902,Nagaoka (2006)
5400.59449,27.8371238,Nagaoka (2006)
5559.707581,27.68244254,Nagaoka (2006)
5701.140442,27.52820535,Nagaoka (2006)
5830.813395,27.82631832,Nagaoka (2006)
5989.935456,27.82232177,Nagaoka (2006)
1520.150856,3.7,"Takahashi (2001), symmetric network"
1577.391506,3.6,"Takahashi (2001), symmetric network"
1638.765358,3.4,"Takahashi (2001), symmetric network"
1692.601798,3.2,"Takahashi (2001), symmetric network"
1769.708039,2.9,"Takahashi (2001), symmetric network"
1827.79505,2.7,"Takahashi (2001), symmetric network"
1893.76581,2.4,"Takahashi (2001), symmetric network"
1958.478291,2.1,"Takahashi (2001), symmetric network"
2049.865104,1.8,"Takahashi (2001), symmetric network"
2115.883799,1.5,"Takahashi (2001), symmetric network"
2185.984674,1.2,"Takahashi (2001), symmetric network"
2310.045094,0.9,"Takahashi (2001), symmetric network"
2401.452255,2.5,"Takahashi (2001), symmetric network"
1766.108633,4.2,"Takahashi (2001), symmetric network"
